s	real_super_population
HG01615	EUR
HG01616	EUR
HG01617	EUR
HG01618	EUR
HG01619	EUR
HG01620	EUR
HG01621	EUR
HG01622	EUR
HG01623	EUR
HG01624	EUR
HG01625	EUR
HG01626	EUR
HG01627	EUR
HG01628	EUR
HG01629	EUR
HG01630	EUR
HG01631	EUR
HG01632	EUR
HG01633	EUR
HG01667	EUR
HG01668	EUR
HG01669	EUR
HG01670	EUR
HG01671	EUR
HG01672	EUR
HG01673	EUR
HG01674	EUR
HG01675	EUR
HG01676	EUR
HG01677	EUR
HG01678	EUR
HG01679	EUR
HG01680	EUR
HG01681	EUR
HG01682	EUR
HG01683	EUR
HG01684	EUR
HG01685	EUR
HG01686	EUR
HG01687	EUR
HG01694	EUR
HG01695	EUR
HG01696	EUR
HG01697	EUR
HG01698	EUR
HG01699	EUR
HG01700	EUR
HG01701	EUR
HG01702	EUR
HG01703	EUR
HG01704	EUR
HG01705	EUR
HG01706	EUR
HG01707	EUR
HG01708	EUR
HG01709	EUR
HG01710	EUR
HG01711	EUR
HG01746	EUR
HG01747	EUR
HG01748	EUR
HG01755	EUR
HG01756	EUR
HG01757	EUR
HG01761	EUR
HG01762	EUR
HG01763	EUR
HG01764	EUR
HG01765	EUR
HG01766	EUR
HG01767	EUR
HG01768	EUR
HG01769	EUR
HG01770	EUR
HG01771	EUR
HG01772	EUR
HG01773	EUR
HG01774	EUR
HG01775	EUR
HG01776	EUR
HG01777	EUR
HG01778	EUR
HG01779	EUR
HG01780	EUR
HG01781	EUR
HG01782	EUR
HG01783	EUR
HG01784	EUR
HG01785	EUR
HG01786	EUR
HG01787	EUR
HG01789	EUR
HG01790	EUR
HG01791	EUR
HG01794	EAS
HG01795	EAS
HG01796	EAS
HG01797	EAS
HG01798	EAS
HG01799	EAS
HG01800	EAS
HG01801	EAS
HG01802	EAS
HG01804	EAS
HG01805	EAS
HG01806	EAS
HG01807	EAS
HG01808	EAS
HG01809	EAS
HG01810	EAS
HG01811	EAS
HG01812	EAS
HG01813	EAS
HG01815	EAS
HG01816	EAS
HG01817	EAS
HG01840	EAS
HG01841	EAS
HG01842	EAS
HG01843	EAS
HG01844	EAS
HG01845	EAS
HG01846	EAS
HG01847	EAS
HG01848	EAS
HG01849	EAS
HG01850	EAS
HG01851	EAS
HG01852	EAS
HG01853	EAS
HG01855	EAS
HG01857	EAS
HG01858	EAS
HG01859	EAS
HG01860	EAS
HG01861	EAS
HG01862	EAS
HG01863	EAS
HG01864	EAS
HG01865	EAS
HG01866	EAS
HG01867	EAS
HG01868	EAS
HG01869	EAS
HG01870	EAS
HG01871	EAS
HG01872	EAS
HG01873	EAS
HG01874	EAS
HG01878	EAS
HG01879	AFR
HG01880	AFR
HG01881	AFR
HG01882	AFR
HG01883	AFR
HG01884	AFR
HG01885	AFR
HG01886	AFR
HG01887	AFR
HG01888	AFR
HG01889	AFR
HG01890	AFR
HG01891	AFR
HG01892	AMR
HG01893	AMR
HG01894	AFR
HG01895	AFR
HG01896	AFR
HG01897	AFR
HG01898	AMR
HG01912	AFR
HG01914	AFR
HG01915	AFR
HG01916	AFR
HG01917	AMR
HG01918	AMR
HG01919	AMR
HG01920	AMR
HG01921	AMR
HG01922	AMR
HG01923	AMR
HG01924	AMR
HG01925	AMR
HG01926	AMR
HG01927	AMR
HG01928	AMR
HG01932	AMR
HG01933	AMR
HG01934	AMR
HG01935	AMR
HG01936	AMR
HG01937	AMR
HG01938	AMR
HG01939	AMR
HG01940	AMR
HG01941	AMR
HG01942	AMR
HG01943	AMR
HG01944	AMR
HG01945	AMR
HG01946	AMR
HG01947	AMR
HG01948	AMR
HG01949	AMR
HG01950	AMR
HG01951	AMR
HG01952	AMR
HG01953	AMR
HG01954	AMR
HG01955	AMR
HG01956	AFR
HG01958	AFR
HG01959	AFR
HG01960	AFR
HG01961	AMR
HG01965	AMR
HG01967	AMR
HG01968	AMR
HG01969	AMR
HG01970	AMR
HG01971	AMR
HG01972	AMR
HG01973	AMR
HG01974	AMR
HG01975	AMR
HG01976	AMR
HG01977	AMR
HG01978	AMR
HG01979	AMR
HG01980	AMR
HG01981	AMR
HG01982	AMR
HG01983	AMR
HG01984	AMR
HG01985	AFR
HG01986	AFR
HG01987	AFR
HG01988	AFR
HG01989	AFR
HG01990	AFR
HG01991	AMR
HG01992	AMR
HG01993	AMR
HG01995	AMR
HG01997	AMR
HG01998	AMR
HG02002	AMR
HG02003	AMR
HG02004	AMR
HG02006	AMR
HG02008	AMR
HG02009	AFR
HG02010	AFR
HG02011	AFR
HG02012	AFR
HG02013	AFR
HG02014	AFR
HG02015	EAS
HG02016	EAS
HG02017	EAS
HG02018	EAS
HG02019	EAS
